neighbourhood_cleansed,anio,n_semanas,media_precio,var_precio,sd_precio
Álvaro Obregón,2021,44,1089.021216,2695.304319,51.91632036
Álvaro Obregón,2022,9,1044.514146,17.84537012,4.224378075
Álvaro Obregón,2024,14,1046.838925,2871.908654,53.59019177
Álvaro Obregón,2025,52,1136.441246,10093.12206,100.4645314
Álvaro Obregón,2026,12,1161.319853,552.0891604,23.49657763
Azcapotzalco,2021,44,798.5629593,2656.848992,51.54463107
Azcapotzalco,2022,9,865.68713,317.3978411,17.8156628
Azcapotzalco,2024,14,706.5258798,181.3301057,13.46588674
Azcapotzalco,2025,52,721.1448288,404.8883508,20.12183766
Azcapotzalco,2026,12,782.2953708,144.0519143,12.0021629
Benito Juárez,2021,44,933.5701143,1455.334317,38.14884424
Benito Juárez,2022,9,901.948936,7337.781328,85.66085061
Benito Juárez,2024,14,1112.601059,4166.131658,64.54557814
Benito Juárez,2025,52,1107.17189,474.5622127,21.78444887
Benito Juárez,2026,12,1377.740902,12592.68834,112.2171481
Coyoacán,2021,44,836.6088738,436.1086347,20.88321419
Coyoacán,2022,9,849.7689751,204.5536483,14.30222529
Coyoacán,2024,14,1005.851532,1154.185223,33.97330162
Coyoacán,2025,52,995.5720794,154.1663699,12.41637507
Coyoacán,2026,12,998.0942183,2938.003744,54.20335547
Cuajimalpa de Morelos,2021,44,1471.135515,2405.237616,49.04322191
Cuajimalpa de Morelos,2022,9,1637.804988,33376.54708,182.6924932
Cuajimalpa de Morelos,2024,14,1557.33298,25271.98983,158.9716636
Cuajimalpa de Morelos,2025,52,1606.47376,4564.553467,67.56147916
Cuajimalpa de Morelos,2026,12,1545.047009,1357.137103,36.83934178
Cuauhtémoc,2021,44,1561.491989,10837.93083,104.1053833
Cuauhtémoc,2022,9,1857.830687,260417.9224,510.3115934
Cuauhtémoc,2024,14,1284.091784,994.4018853,31.53413841
Cuauhtémoc,2025,52,1449.991652,5431.303924,73.69738071
Cuauhtémoc,2026,12,1527.557036,4539.256369,67.37400366
Gustavo A. Madero,2021,44,763.5151427,1373.981794,37.0672604
Gustavo A. Madero,2022,9,804.7804214,30.4812568,5.520983319
Gustavo A. Madero,2024,14,846.2084692,9075.864982,95.26733428
Gustavo A. Madero,2025,52,787.2269557,333.7510902,18.26885574
Gustavo A. Madero,2026,12,754.9644403,1283.780762,35.82988644
Iztacalco,2021,44,602.5049361,396.5328431,19.91313243
Iztacalco,2022,9,629.9772574,11.82060584,3.438110795
Iztacalco,2024,14,2613.919397,1476534.614,1215.127407
Iztacalco,2025,52,1365.180186,387650.1138,622.6155425
Iztacalco,2026,12,643.6837128,64.66390689,8.041387125
Iztapalapa,2021,44,2971.940243,101710.4696,318.9207889
Iztapalapa,2022,9,3300.725378,165526.1183,406.8490117
Iztapalapa,2024,14,642.7691974,570.164919,23.87812637
Iztapalapa,2025,52,692.5903166,585.0857777,24.18854642
Iztapalapa,2026,12,617.3929824,3.132923047,1.77000651
La Magdalena Contreras,2021,44,756.6755181,823.6944829,28.7000781
La Magdalena Contreras,2022,9,752.6806248,668.1541714,25.84867833
La Magdalena Contreras,2024,14,1362.983624,8734.06723,93.45623163
La Magdalena Contreras,2025,52,1175.466247,1039.557418,32.24216833
La Magdalena Contreras,2026,12,1173.777801,1206.283051,34.73158578
Miguel Hidalgo,2021,44,1505.878161,1558.139944,39.4732814
Miguel Hidalgo,2022,9,1609.874397,59771.45987,244.4820236
Miguel Hidalgo,2024,14,1369.66674,1034.387525,32.16189555
Miguel Hidalgo,2025,52,1401.854564,197.7855364,14.06362458
Miguel Hidalgo,2026,12,1371.317709,421.2114426,20.52343642
Milpa Alta,2021,44,1132.567587,25934.81303,161.0428919
Milpa Alta,2022,9,723.954321,39.53537401,6.28771612
Milpa Alta,2024,14,1429.166384,9202.125773,95.92771118
Milpa Alta,2025,52,1179.440898,10693.55996,103.4096705
Milpa Alta,2026,12,840.3895139,3073.573535,55.43981904
Tláhuac,2021,44,707.424221,18489.89689,135.9775602
Tláhuac,2022,9,804.1970348,116.0039487,10.77051293
Tláhuac,2024,14,761.6381047,6808.891641,82.51600839
Tláhuac,2025,52,584.8965327,28471.49608,168.7349877
Tláhuac,2026,12,476.0898306,1.27485597,1.1290952
Tlalpan,2021,44,742.5125575,233.4019877,15.27749939
Tlalpan,2022,9,764.1924735,117.753778,10.85144129
Tlalpan,2024,14,1285.544357,38198.42822,195.4441819
Tlalpan,2025,52,1195.956588,2377.953959,48.76426929
Tlalpan,2026,12,1257.664125,5122.895503,71.57440536
Venustiano Carranza,2021,44,1365.638785,236686.669,486.5045416
Venustiano Carranza,2022,9,1782.550251,1157.761305,34.02589168
Venustiano Carranza,2024,14,715.025784,374.6178877,19.35504812
Venustiano Carranza,2025,52,782.6723886,511.0735388,22.60693564
Venustiano Carranza,2026,12,816.8150441,87.12581314,9.334120909
Xochimilco,2021,44,1036.124359,5165.984479,71.87478333
Xochimilco,2022,9,976.7247221,380.2402784,19.49975073
Xochimilco,2024,14,2605.363723,86584.44216,294.2523444
Xochimilco,2025,52,2367.487661,15413.16892,124.1497842
Xochimilco,2026,12,3091.485731,615.1235014,24.80168344
