neighbourhood_cleansed,week_start,price_calendar
Azcapotzalco,2021-03-01,773.2487195962404
Azcapotzalco,2021-03-08,757.9193454749362
Azcapotzalco,2021-03-15,745.4115203868757
Azcapotzalco,2021-03-22,755.3178264645894
Azcapotzalco,2021-03-29,744.726872588918
Azcapotzalco,2021-04-05,735.4651722512665
Azcapotzalco,2021-04-12,738.9116543420813
Azcapotzalco,2021-04-19,739.4226398627718
Azcapotzalco,2021-04-26,734.5635326687536
Azcapotzalco,2021-05-03,723.041791952562
Azcapotzalco,2021-05-10,721.9506872921369
Azcapotzalco,2021-05-17,720.7819857113901
Azcapotzalco,2021-05-24,725.0848309766515
Azcapotzalco,2021-05-31,773.3055440595843
Azcapotzalco,2021-06-07,776.8187274546256
Azcapotzalco,2021-06-14,777.018317896863
Azcapotzalco,2021-06-21,777.1624830629295
Azcapotzalco,2021-06-28,776.0930130385487
Azcapotzalco,2021-07-05,777.0854962978553
Azcapotzalco,2021-07-12,777.559831871345
Azcapotzalco,2021-07-19,777.8466202709153
Azcapotzalco,2021-07-26,778.0916649262044
Azcapotzalco,2021-08-02,778.1636603910571
Azcapotzalco,2021-08-09,777.2605330290011
Azcapotzalco,2021-08-16,777.2669105800214
Azcapotzalco,2021-08-23,783.0198644156729
Azcapotzalco,2021-08-30,852.2925305349412
Azcapotzalco,2021-09-06,852.5901495825603
Azcapotzalco,2021-09-13,852.6050305349412
Azcapotzalco,2021-09-20,854.0268378942486
Azcapotzalco,2021-09-27,852.9366631880024
Azcapotzalco,2021-10-04,855.4207193104514
Azcapotzalco,2021-10-11,856.7202091063698
Azcapotzalco,2021-10-18,856.0382788342611
Azcapotzalco,2021-10-25,856.8960594465059
Azcapotzalco,2021-11-01,859.8509914192949
Azcapotzalco,2021-11-08,862.632666589363
Azcapotzalco,2021-11-15,864.5056373685838
Azcapotzalco,2021-11-22,860.254653399568
Azcapotzalco,2021-11-29,852.2607814222528
Azcapotzalco,2021-12-06,853.1292375003361
Azcapotzalco,2021-12-13,853.5287494790407
Azcapotzalco,2021-12-20,858.565251085612
Azcapotzalco,2021-12-27,859.9765157396951
Azcapotzalco,2022-01-03,861.7580226903013
Azcapotzalco,2022-01-10,861.3550462057353
Azcapotzalco,2022-01-17,857.3886665708773
Azcapotzalco,2022-01-24,857.6980739207738
Azcapotzalco,2022-01-31,858.4033372489312
Azcapotzalco,2022-02-07,860.5243193917884
Azcapotzalco,2022-02-14,860.5243193917884
Azcapotzalco,2022-02-21,860.5243193917884
Azcapotzalco,2022-02-28,913.0080651655699
Benito Juárez,2021-03-01,1123.087383607267
Benito Juárez,2021-03-08,914.2095404800501
Benito Juárez,2021-03-15,905.6161562151461
Benito Juárez,2021-03-22,898.494080794053
Benito Juárez,2021-03-29,896.2087444256683
Benito Juárez,2021-04-05,886.4760828431115
Benito Juárez,2021-04-12,890.2950879781281
Benito Juárez,2021-04-19,895.0703595251204
Benito Juárez,2021-04-26,892.1267425731718
Benito Juárez,2021-05-03,891.675098620581
Benito Juárez,2021-05-10,885.9201292332207
Benito Juárez,2021-05-17,886.886085227709
Benito Juárez,2021-05-24,884.0259928264492
Benito Juárez,2021-05-31,924.0277345022297
Benito Juárez,2021-06-07,918.5455100338937
Benito Juárez,2021-06-14,918.7431407639558
Benito Juárez,2021-06-21,917.1771104690697
Benito Juárez,2021-06-28,936.1297805789745
Benito Juárez,2021-07-05,936.880787686243
Benito Juárez,2021-07-12,935.6658144997792
Benito Juárez,2021-07-19,935.2711085766833
Benito Juárez,2021-07-26,935.5735628371016
Benito Juárez,2021-08-02,936.4900096597983
Benito Juárez,2021-08-09,935.7850897568406
Benito Juárez,2021-08-16,935.2177760199685
Benito Juárez,2021-08-23,936.2305330713176
Benito Juárez,2021-08-30,950.0847752802185
Benito Juárez,2021-09-06,946.0273240932655
Benito Juárez,2021-09-13,944.448182795275
Benito Juárez,2021-09-20,947.0141584994471
Benito Juárez,2021-09-27,948.652453946248
Benito Juárez,2021-10-04,946.8873688195956
Benito Juárez,2021-10-11,948.5510626322265
Benito Juárez,2021-10-18,948.9974292165435
Benito Juárez,2021-10-25,950.4835052829101
Benito Juárez,2021-11-01,958.3851172184259
Benito Juárez,2021-11-08,960.3367623329598
Benito Juárez,2021-11-15,958.4961898463091
Benito Juárez,2021-11-22,955.9728076286049
Benito Juárez,2021-11-29,953.2204681318154
Benito Juárez,2021-12-06,951.2305823112913
Benito Juárez,2021-12-13,951.255162776696
Benito Juárez,2021-12-20,951.7801672221342
Benito Juárez,2021-12-27,953.4320690915944
Benito Juárez,2022-01-03,935.291729287373
Benito Juárez,2022-01-10,927.9079508472762
Benito Juárez,2022-01-17,927.7482402148454
Benito Juárez,2022-01-24,928.4737988905234
Benito Juárez,2022-01-31,930.7747660000651
Benito Juárez,2022-02-07,931.0263793013271
Benito Juárez,2022-02-14,931.3221073705135
Benito Juárez,2022-02-21,931.3914224946194
Benito Juárez,2022-02-28,673.6040291886895
Coyoacán,2021-03-01,968.1476003760857
Coyoacán,2021-03-08,839.082668051802
Coyoacán,2021-03-15,838.461461601068
Coyoacán,2021-03-22,841.1991255894965
